pca_00	pca_01	pca_02	pca_03	pca_04	pca_05	pca_06	pca_07	pca_08	pca_09	pca_10	pca_11	pca_12	pca_13	pca_14	pca_15	pca_16	pca_17	pca_18	pca_19	pca_20	pca_21	pca_22	pca_23	pca_24	pca_25	pca_26	pca_27	pca_28	pca_29	pca_30	pca_31	pca_32	pca_33	pca_34	pca_35	pca_36	pca_37	pca_38	pca_39	pca_40	pca_41	pca_42	pca_43	pca_44	pca_45	pca_46	pca_47	pca_48	pca_49	pca_50	pca_51	pca_52
-0.12792136279889046	-0.07627344474229054	0.02811750037083007	0.12879301481920288	0.07005951071695471	-0.03736804470426362	-0.010047301476776571	0.13315882489068448	-0.05512827330160784	0.08106905159076923	0.03249643668704785	-0.011893077892222083	0.04486835604423114	-0.022276194776134746	0.021014732840214916	0.016251870067408452	0.0801405214502445	0.022105696419933485	0.11006831962163381	0.06092949814666561	0.09021399201893975	0.05504897465940476	-0.02201719009010994	0.09896488783532387	0.07782971792571994	0.0527443834115255	-0.03586714791323175	0.011908887164068573	0.004706466695795767	0.08889916246338678	-0.16772982917736137	-0.028759103579226893	-0.01094520952444307	0.02600906222027715	0.0582827229685328	0.036030891137132426	0.0469749192113489	0.06023094463544775	0.08097451920878128	0.035764097205896093	-0.06570300509929515	0.07067598851271205	-0.02368138578091869	-0.09145346887277182	-0.06008988313204705	0.022141310585835426	0.0832938436129286	-0.04557398324426744	-0.004940438341259807	0.022748272478786618	-0.03555643248033068	0.08712509595742958	0.009490353544008867
-0.11719130062000704	-0.11150628854344459	0.04625198223325428	0.1727059220620818	0.12616907107405792	-0.03184496922578434	-0.12725788001694238	0.17034153908157507	-0.032560713671755045	0.10884556557495327	0.0621977732265929	-0.0660725982017595	-0.002355421046112441	-0.11568073431229244	-0.0263842993894659	-0.04894219287443427	0.11853001238963984	0.099164500736092	0.09768189985483704	0.07047889563701318	0.04090266130883514	0.15878642118678657	-0.0453734353693818	0.04783180479706908	0.1707547966215107	0.15951055349950055	-0.05834844398902298	0.03471907453107345	0.001994312593954717	0.11813461845554465	-0.21592131660336783	0.045433441462445164	-0.005733809642640662	0.08438690028333669	0.08934182235144915	-0.02469310349884313	0.05388162822061617	0.07081868527033629	0.13453574395606785	0.008039637526947082	-0.007129929674336698	0.12494261315509045	0.05106309958309896	-0.03525867370945596	-0.13464490697389442	0.014713630672497714	0.05390722948926	0.05283298799900174	-0.020732130823466543	-0.08155793608468327	-0.017861171500511405	0.11364669357530072	0.06086705503800839
-0.11352474924757308	-0.1690733574664981	0.04087668358997551	0.07503310398077478	0.02970689889096159	0.013756896791173284	-0.21764360044002562	0.06079538419208519	-0.011303758250695517	-0.041072292821268466	0.10645022692388274	-0.11625855241939327	-0.05575649989566708	-0.14152001863317676	-0.005571792459413895	-0.07730387217633232	0.021013870749074237	0.010763035007330887	0.06287849696527653	-0.0034902939871491144	0.017464937287593456	0.07462384609616647	-0.0172301009157566	0.07216475917676456	0.16797215302076074	0.07511678584995109	-0.1458814740694358	0.006171844407636694	-0.053370760326614725	-0.07140726535071909	-0.05547411572360942	0.06975622350510324	-0.09441526422916464	0.03284531140937202	0.03473569514681551	0.007136112480706374	-0.08303011296006062	-0.035548488286098544	0.03853645281284972	-0.1360305803851396	0.04640576574683593	0.13774237780551316	0.042436079425801174	0.13244223744125075	-0.08755726203732356	-0.013388769706395968	-0.06222581112390708	0.07003516278337117	-0.03210053557871911	-0.12463748190676353	0.061744893880558635	0.043313344858183334	0.07479976575720652
-0.11564557715443732	-0.1867959743436025	0.02095821512673792	0.027912383481236674	-0.052929948998072046	-0.053548172528877766	-0.16989559846759794	0.026172958860992912	-0.0915189636314731	-0.010739232305163077	0.08886175368955403	-0.14784005532714647	0.10301496761563976	-0.06501636622150173	0.03574108231892054	0.013408566018043267	0.04672082246362276	-0.0628087279026031	0.17635415798889018	-0.021528409549214894	0.027215166708254968	-0.018652187883555015	0.042967880511191145	0.10274412214509282	0.034559911408554383	-0.1284886342649945	-0.06674108630980444	0.03490867056939844	-0.12137293882568627	-0.18737818773567605	0.08480605939069943	0.08735806518372745	-0.03765431343601029	-0.014538421763569348	0.07181430971490767	0.071494237771781	-0.10042695425605476	-0.017951289983763424	-0.004591470280827192	-0.10524032772747245	-0.05331191770251285	0.07394080327686203	-0.058782639140187866	-0.03597819617297887	0.013741051640597857	-0.11160218887887904	-0.009549408784211117	-0.11987404457345838	-0.0005224056924988095	0.03570650480539134	0.025341112268192273	0.020377489908423946	-0.04576794255429006
-0.11795760957011503	-0.16003093747116842	0.011772311113005737	0.04321894904659729	-0.07036970308736465	-0.10608809973773202	-0.07567650533539402	0.057104956032676624	-0.12124622612870747	0.17096047141428775	0.04738167169420071	-0.06721352046133583	0.02540343682419069	0.02205841077027666	-0.00955521760938667	0.04944748277755685	0.05747252935558858	-0.030806842340161802	0.05570800002386922	-0.008996676318800995	-0.1184189974126148	0.06674846149454154	0.006993983984210295	0.028436845905855518	0.0076177848333098125	-0.12158240200204162	0.11712989859833303	-0.033223951962711495	-0.009512989434488037	-0.1510456501022366	0.0007197046253329398	-0.01658670857111221	0.08236193540653419	-0.08015066053887457	0.003252111492366941	-0.059428543000574	-0.05896556959752979	0.19589038419901486	0.040132821651404756	0.0037815522564260858	-0.008616673037629037	-0.09089080256532162	-0.030546240028881736	-0.03106794194157142	0.07931847120230211	-0.07325915144213185	0.1391322078356734	-0.14321058086363997	0.052690675048840556	0.09181355866247984	-0.004374286336943185	-0.05671863106314662	-0.04861441080114813
-0.11726640971405979	-0.13581841551749896	0.006209411919105845	0.06712356920800855	-0.06764552293500403	-0.07373137520548964	-0.011913119580916273	0.10130957392696993	-0.155840520987231	0.09465155563919599	0.08199379676766692	-0.0501423585211586	-0.13033295652802285	0.059088572183087905	-0.03287668790262513	0.0046139928229213464	-0.01576673180586452	-0.07198197666854755	-0.016534020420010564	0.04877838765952841	-0.16325151189988696	0.07135281636726654	-0.01937197867396885	0.031039174026987054	-0.003885714640147142	-0.13416143217568566	0.07270809435796909	-0.038884906118625134	0.03945539071598146	-0.06309049407740794	-0.05316842155549939	-0.04765472035364168	0.03942419670051165	-0.05890620263819222	-0.06508460714819253	-0.11852749941907258	-0.05993379736811158	0.12612628304107962	0.08550201677259608	-0.04357253095100969	0.0705155092084658	-0.23098831362816874	0.07275512118912374	0.07273295617551002	0.09292463123191039	0.08322631897565541	0.09914698377715137	-0.03858002455974244	-0.0486018464678951	0.040955825918514134	0.05894154251382317	-0.12203756090389317	0.007833151578780433
-0.11384744662089745	-0.10497548121230757	0.03001829403794909	0.06042720582922264	-0.052009609887758934	-0.06425837699673628	0.02254782923972443	0.1918250266110479	-0.15493152536620824	-0.041171036152735346	0.04621160830290523	-0.15325556895745127	-0.05320931324979023	0.07062027908289635	-0.005996904172254245	-0.05401881928857555	-0.07812317758294496	-0.10440504360441756	0.00423435696681948	0.06786354906114564	-0.025838048498311825	-0.03252386487857356	0.057704719097236803	0.05745555945407019	-0.07075430314714896	-0.1034769342004901	-0.04538102405236943	0.023891184550289463	-0.05301120112542283	0.018121137449590874	0.06676038352968808	0.03929713662132843	-0.03864730866784964	-0.02197578378278221	-0.11264938886500553	-0.01169187393572721	-0.03260165821527485	-0.0558030466468008	-0.015614112380768846	-0.06782159045751485	0.05858960564357089	-0.1698830020174506	0.012972951907546326	0.011875779757942767	0.16024361573626847	0.05162179070795915	-0.05399935919399625	0.007655850418928259	-0.031386469959075146	0.05016639116982399	0.0981497752496011	0.0099662784914019	0.014319809758152679
-0.1154978330403975	-0.09653053874979954	0.09242823824541813	0.05167678389439906	-0.018124048532597747	-0.09092121424848718	-0.02889412914645639	0.22835275124407542	-0.044000309348504116	0.02798803299017666	-0.04420324193641188	-0.11359697646316022	0.03568636978286831	0.07078339695046038	0.0052297192644202226	-0.082133821327267	-0.03581175191098809	-0.13880218432976804	-0.00921459452483292	0.010979278838480377	2.73497558654634e-06	-0.058928608089174966	0.14247399810514735	0.008681232814658692	-0.1312319227311028	0.021651036165566857	-0.017809357698591925	-0.03394303751423644	0.006422183326364021	-0.013145475543833225	0.045572859763002925	-0.05225707328125914	-0.008625399685415022	-0.10337411235762502	-0.08817254945286951	0.02803550928550174	0.082324646456743	0.021074601935945715	-0.07837026049657468	0.0734707964310928	-0.03908825796158177	-0.052233366089279414	-0.0014125266955889552	-0.021642482561436596	0.08716538358265492	0.002484276243698973	-0.06812559133577321	0.046974302333688836	-0.015098985739147124	-0.07517861489598505	-0.0004929664030996865	-0.07867518399738051	-0.059050539509590196
-0.11445745346032081	-0.12621735600740683	0.10737628553390595	0.016453969104097008	0.025313230857674895	-0.09999067858127308	-0.09522547697818108	0.10503289277790662	0.035609209431851224	0.005589550192904257	0.0023254488365697934	0.03471368022862023	-0.09519021302758518	0.10212430853682634	-0.07979999958001392	-0.08062826051976231	0.06413356584924579	-0.156477780500415	-0.059852973685137756	-0.05777090660378098	-0.02742729830055568	0.019711317683230492	0.09707440833652413	-0.05912249893113301	-0.08625729539362484	-0.00054977738335844	0.06465233742016169	0.04251028121530445	0.11240106904734548	-0.01662861831705522	-0.022573803073328014	-0.023430870566598275	0.05592547742952936	-0.0720084659889771	-0.034492275427281796	-0.03664636229527478	0.14297391920102873	0.008102528476141825	-0.12321104563775831	0.1501099061113093	-0.16715106462736448	-0.017325904507727946	0.0843724576490803	-0.07528531111551467	-0.11149324070204256	0.0670646436351337	-0.07608806358802153	0.09536385167547087	-0.024648043463448538	-0.07296581709373018	-0.14041719132397862	-0.06547338195431875	-0.09398774555518906
-0.11225113269937881	-0.1393978130280751	0.1214367719585322	0.018053632157305682	0.042579514443766286	-0.08936623136164007	-0.12944917595343997	-0.005438942229719856	-0.01833021896991105	-0.09534597986450483	0.04046768280569005	0.03041685341992227	-0.05501598896906579	0.16389902728687963	-0.14328338202341614	-0.054483087205586686	0.024047057982099957	-0.11843537494176509	-0.08773316693947063	-0.09363871869081097	0.04292671955924718	0.0784085643087083	0.014671074663779714	-0.07159296135543651	-0.0571716484024376	0.05274286059975557	0.07623491421224007	0.02591547696971704	0.10820920000371023	0.0008036629690773844	-0.029531482619822177	0.1854472626568325	-0.008676728824358146	0.07851618814900886	-0.11366946105513018	-0.017635025177585827	0.10724008964478118	-0.0445149806061756	-0.1225264340650454	0.059816706905477614	-0.023827144007470942	0.06262563423826802	-0.06822516163216229	-0.03688756814707295	-0.03213269432700233	0.03774935126162936	-0.11567109195694493	0.05069990895545376	0.11454638060868197	0.05111449392664578	-0.11423097742402763	0.133387087251063	0.014227947564924223
