rmse_mean	rmse_std	rmse_min	rmse_percentile02	rmse_percentile25	rmse_median	rmse_percentile75	rmse_percentile98	rmse_max
432.3499755859375	516.5927124023438	9.55046558380127	61.680523986816404	172.0746307373047	281.0439758300781	482.47100830078125	2052.1471484375	15573.568359375
432.8705139160156	516.472412109375	6.871703147888184	61.746342163085934	173.7504119873047	281.3098449707031	481.601318359375	2049.6390722656256	15582.654296875
432.7548522949219	516.2816772460938	2.0544323921203613	62.68172073364258	172.97557830810547	280.98443603515625	482.8734130859375	2049.4940039062503	15547.408203125
432.8079528808594	515.9972534179688	4.809811592102051	63.063392333984375	173.17282104492188	282.13067626953125	482.1008605957031	2047.7389062500001	15500.7431640625
430.7191467285156	515.0192260742188	2.429335355758667	60.99919906616211	173.02418518066406	280.27679443359375	479.32977294921875	2053.6795312500003	15533.5244140625
429.8909606933594	514.7269897460938	8.122312545776367	60.24014587402344	172.27973175048828	279.2073059082031	478.57887268066406	2049.3189648437506	15523.314453125
429.37457275390625	515.1807250976562	3.15995454788208	59.56651321411133	170.7468032836914	279.0541076660156	478.71473693847656	2045.6044335937502	15519.8486328125
429.42059326171875	514.7222290039062	4.626685619354248	59.444473571777344	171.68212890625	279.65411376953125	479.9095916748047	2043.212080078125	15541.2021484375
429.6903381347656	514.4586181640625	2.2122902870178223	61.451119384765626	172.58028411865234	279.444580078125	477.8525390625	2046.414619140625	15568.2109375
430.7065124511719	514.3695678710938	4.748940467834473	61.26621185302734	172.81964111328125	279.9699401855469	479.8704833984375	2042.3006005859377	15527.67578125
430.21673583984375	513.806640625	7.168839931488037	60.91209655761719	172.64202117919922	279.6532287597656	479.75360107421875	2035.4812011718768	15546.951171875
424.89752197265625	512.5057983398438	0.15898485481739044	58.628612670898434	168.73856353759766	275.77386474609375	471.21661376953125	2027.6820654296876	15509.96484375
425.00726318359375	512.4849243164062	2.3561744689941406	55.33714874267579	168.78673553466797	275.7503662109375	472.94769287109375	2028.782509765625	15508.421875
425.46929931640625	513.4500122070312	2.8804659843444824	56.967728271484376	168.49295806884766	276.31036376953125	473.9040069580078	2031.8734472656254	15539.8486328125
425.2337951660156	514.1297607421875	4.041088104248047	57.26932083129883	167.43484497070312	275.12744140625	473.74769592285156	2031.8705517578128	15544.2890625
423.45703125	512.73486328125	0.8909890055656433	55.89658004760742	167.15562438964844	274.595947265625	471.41590881347656	2031.8312353515628	15519.8837890625
422.2611389160156	512.5811157226562	2.455754041671753	54.17269515991211	165.9336700439453	273.1037292480469	469.5658721923828	2022.5514941406252	15564.7412109375
422.7325439453125	513.462158203125	2.907255172729492	54.38064254760742	165.9936294555664	273.14300537109375	470.5253601074219	2031.1144531250002	15554.34765625
423.52508544921875	514.2286987304688	0.5352106094360352	54.12830062866211	166.8249053955078	273.683837890625	471.99134826660156	2032.1152929687503	15516.611328125
423.00189208984375	514.3212890625	2.3289377689361572	55.53789077758789	166.19613647460938	273.4573974609375	470.2543029785156	2038.2353320312502	15567.1455078125
422.68609619140625	514.4398803710938	1.5816049575805664	54.008128509521484	166.21035766601562	272.954345703125	470.942138671875	2041.7510693359377	15533.1123046875
423.5566711425781	514.8038940429688	2.233887195587158	54.11883529663086	166.22919464111328	273.9570007324219	472.4430389404297	2042.5363671875	15534.8515625
422.7232360839844	514.3616943359375	3.982933282852173	54.103648071289065	165.9346160888672	273.56634521484375	471.13079833984375	2042.2116943359376	15559.3798828125
423.2576904296875	514.6185302734375	4.735416412353516	54.9178955078125	166.3309326171875	273.54168701171875	470.3722381591797	2042.5578759765629	15567.9912109375
423.54840087890625	514.7607421875	3.6897475719451904	55.098824462890626	166.74179077148438	273.0538635253906	470.49864196777344	2041.4593212890632	15505.474609375
423.1587829589844	514.8148193359375	0.2694365978240967	55.810609893798826	166.0550994873047	272.4427185058594	470.41558837890625	2048.8814160156253	15539.345703125
423.58154296875	515.11181640625	5.045009613037109	54.85978057861328	165.48068237304688	274.2784118652344	471.64013671875	2039.499003906251	15533.396484375
423.3117980957031	515.3372802734375	0.42412617802619934	53.33474899291993	166.6749725341797	273.5795593261719	471.05345153808594	2043.5401953125004	15534.9111328125
421.98492431640625	514.4616088867188	0.2744479477405548	53.33245361328125	165.57455444335938	272.6462707519531	469.8141632080078	2040.6418310546876	15575.5634765625
424.2163391113281	514.5372924804688	2.7835068702697754	54.88856338500977	167.0192413330078	275.3176574707031	471.79429626464844	2041.8147460937507	15511.6748046875
425.2983093261719	515.935302734375	4.392796039581299	55.18301895141602	167.26547241210938	275.7135009765625	473.9489288330078	2042.7440478515625	15478.9501953125
423.1669921875	515.502685546875	3.1772162914276123	53.44404541015625	165.39868927001953	273.4324035644531	471.06263732910156	2047.0820800781253	15553.2529296875
422.3230285644531	514.9813842773438	2.776925802230835	53.121771087646486	165.22982025146484	273.9233703613281	470.37037658691406	2038.681396484375	15529.509765625
423.05267333984375	515.469482421875	1.7912956476211548	52.736123046875	165.60818481445312	273.26593017578125	472.0008850097656	2047.249306640625	15525.9765625
421.81878662109375	516.1974487304688	3.267451524734497	50.87308364868164	164.64005279541016	271.6262512207031	470.5220489501953	2042.1796142578125	15530.787109375
421.2471923828125	516.0586547851562	0.7631725072860718	52.606567840576176	163.5704116821289	271.0066833496094	469.9842834472656	2043.1854150390625	15539.2509765625
420.4503479003906	515.405029296875	1.654370665550232	51.10579391479493	162.80309295654297	270.3606262207031	469.1671905517578	2039.8694726562503	15551.2724609375
419.79571533203125	514.4848022460938	2.935105562210083	51.45425140380859	164.02108001708984	270.0816955566406	466.93701171875	2026.2008300781251	15562.779296875
420.00177001953125	514.311767578125	0.9513070583343506	51.058211212158206	163.96412658691406	270.5562744140625	468.4274139404297	2037.0833593750003	15515.408203125
419.14080810546875	514.2379760742188	1.015662670135498	48.53488998413086	162.86688995361328	269.87811279296875	465.66941833496094	2034.9519189453129	15513.228515625
419.50408935546875	513.8353271484375	2.888197183609009	50.286927185058595	162.74522399902344	271.1610412597656	468.02777099609375	2033.6464062500004	15578.6904296875
421.7497863769531	514.9866333007812	2.1865274906158447	50.573108978271485	164.6607894897461	272.2112121582031	470.8860626220703	2034.39830078125	15538.7353515625
421.7724914550781	515.141845703125	5.221388816833496	51.42924789428711	164.92676544189453	271.6951904296875	470.3304748535156	2029.7587158203125	15533.052734375
420.4699401855469	514.4639282226562	1.2793464660644531	51.58369918823242	163.81517791748047	270.57049560546875	468.7380828857422	2029.8585693359375	15567.3515625
421.49468994140625	515.3312377929688	1.0879110097885132	51.092398223876955	163.6984634399414	271.1253967285156	471.5120849609375	2037.7777685546876	15556.337890625
422.90936279296875	516.0138549804688	2.2818799018859863	51.67977920532227	164.29340362548828	272.66107177734375	473.79823303222656	2038.395859375	15506.09375
421.6863098144531	516.1263427734375	1.451836109161377	51.77450546264649	163.8636474609375	271.1438293457031	470.8538360595703	2038.3944775390626	15577.1103515625
419.70159912109375	515.1154174804688	2.7676608562469482	49.83877410888672	163.16248321533203	270.1941833496094	467.0475158691406	2033.9009375	15552.935546875
419.4128723144531	514.8564453125	4.039673328399658	50.37290130615234	162.7485122680664	270.51007080078125	467.31300354003906	2024.187802734375	15526.6357421875
419.19647216796875	515.6083374023438	3.1108176708221436	49.492276916503904	161.6780548095703	269.7001647949219	468.3302001953125	2033.7939941406253	15570.0908203125
419.01190185546875	516.1242065429688	1.632683515548706	48.42448776245117	161.814697265625	269.0926818847656	466.7130889892578	2038.9263720703127	15561.2587890625
419.4457702636719	515.8333129882812	2.095546007156372	47.96416320800781	162.04882049560547	269.3976745605469	468.5690155029297	2041.4125537109378	15549.357421875
419.6545715332031	516.4495239257812	2.5107715129852295	49.44523529052735	161.4924545288086	269.59967041015625	467.89601135253906	2042.735258789063	15543.6689453125
418.99658203125	516.3735961914062	0.9851159453392029	47.98437088012695	161.5834732055664	269.7618713378906	466.6293182373047	2041.0391406250008	15589.37109375
418.2147216796875	516.1316528320312	2.251800775527954	48.48581375122071	161.0637435913086	268.20025634765625	466.7287292480469	2036.5510302734376	15568.0771484375
419.05438232421875	515.7243041992188	2.800197124481201	48.36727416992188	161.56153869628906	269.1857604980469	467.90357971191406	2040.7985009765628	15556.3349609375
419.5648498535156	516.4676513671875	2.1078925132751465	48.85621002197266	162.3493423461914	269.25323486328125	469.11741638183594	2034.142822265625	15587.224609375
418.8802795410156	516.5838623046875	1.6735330820083618	46.909911193847655	161.4319839477539	269.6122131347656	466.7641906738281	2035.2257373046878	15513.017578125
419.7769775390625	515.6995239257812	1.2360483407974243	49.0504182434082	163.72698211669922	269.7283935546875	467.63818359375	2033.2916015625	15556.3505859375
419.8917236328125	514.8779907226562	0.9587051272392273	49.82044769287109	163.78768157958984	270.5048828125	468.83750915527344	2032.75634765625	15591.0498046875
419.12103271484375	515.38623046875	4.265142440795898	48.33203262329101	163.3568115234375	269.1531066894531	468.2428741455078	2031.4601757812502	15543.185546875
419.7911376953125	515.95361328125	3.889347553253174	47.704378356933596	163.39081573486328	269.235107421875	468.88108825683594	2036.7615869140627	15532.1298828125
419.176025390625	515.891845703125	2.951331853866577	48.83068618774414	162.30292510986328	269.6368713378906	466.5070037841797	2033.66404296875	15595.9140625
418.5233154296875	515.5340576171875	1.9221032857894897	46.80182205200195	162.64657592773438	269.54046630859375	467.31201171875	2029.6561328125003	15546.54296875
418.4371032714844	515.3145751953125	1.2145817279815674	47.64940826416016	161.60523223876953	269.01190185546875	465.42494201660156	2025.8264599609377	15544.974609375
417.7884521484375	515.536865234375	2.2908849716186523	46.31046157836914	160.44611358642578	268.3393249511719	466.08338928222656	2031.76275390625	15579.466796875
417.7018737792969	515.964599609375	1.2440779209136963	46.56929061889649	160.6701431274414	268.64715576171875	465.757568359375	2032.5485107421878	15548.85546875
417.6285400390625	515.1629028320312	2.854855537414551	46.97512496948242	161.056396484375	268.8150939941406	465.5406951904297	2024.8134716796878	15555.5458984375
418.0426330566406	514.7675170898438	1.8682129383087158	46.85816589355469	161.46371459960938	269.68756103515625	467.123046875	2025.1383349609378	15574.6728515625
418.4334411621094	514.9071655273438	1.7423323392868042	46.35870315551758	161.71961212158203	268.9059143066406	468.1418914794922	2029.3009326171878	15554.0390625
418.2352600097656	514.48291015625	0.4883984327316284	48.1381039428711	162.01304626464844	268.30645751953125	465.78163146972656	2021.8147802734375	15572.896484375
419.0484619140625	514.5100708007812	1.2397139072418213	47.6570002746582	161.80513763427734	269.8188781738281	467.1994323730469	2027.027353515625	15584.4365234375
419.3069763183594	514.7274169921875	1.9555833339691162	46.63482818603516	162.45327758789062	270.7498474121094	468.0723876953125	2026.646767578125	15547.2548828125
418.54656982421875	514.4930419921875	0.1229848563671112	47.45577133178711	161.2931365966797	269.81280517578125	466.8909606933594	2023.3505810546876	15537.1533203125
418.6629638671875	514.9345703125	1.836708664894104	45.70346115112305	161.20108795166016	269.6023864746094	467.63999938964844	2026.897568359375	15549.4326171875
419.51348876953125	515.0575561523438	0.8247244954109192	47.63860336303711	162.3130645751953	270.44140625	467.29920959472656	2027.4083544921882	15546.380859375
417.9021911621094	513.96435546875	1.5468460321426392	48.036825866699225	162.19182586669922	269.0531311035156	465.09095764160156	2021.9908496093751	15583.2880859375
417.3703308105469	513.9440307617188	0.9762658476829529	45.81925399780274	161.59256744384766	269.0074462890625	465.20335388183594	2023.1518212890626	15553.517578125
418.61053466796875	514.285888671875	0.46905773878097534	46.463217773437506	162.549072265625	270.1354675292969	466.99586486816406	2021.4695654296875	15553.01171875
419.5275573730469	515.0692138671875	1.2743228673934937	48.46793228149414	162.60851287841797	270.936767578125	467.29856872558594	2032.3700146484377	15605.0068359375
419.80670166015625	515.4052124023438	3.9947891235351562	48.84962097167969	162.85853576660156	270.20416259765625	467.2150573730469	2037.32869140625	15541.7451171875
