mot_x	mot_y	mot_z	mot_pitch	mot_roll	mot_yaw	mot_dx	mot_dy	mot_dz	mot_dpitch	mot_droll	mot_dyaw	csf1	csf2	csf3	signal_checkerboard
0.00268	-0.162529	0.00435812	0.0796513	-0.0256806	0.0621544	-0.00231563	0.00231188	0.00359563	-0.0270956	0.00088125	0.0101331	0.0789846	-0.0621482	-0.0340624	0.0526548
0.00738	-0.160829	0.00845812	0.0697513	-0.0241806	0.0619544	0.00488437	-0.00198813	0.00399562	-0.00699562	0.00098125	0.00113312	0.0788652	-0.0487007	-0.0761896	0.37117
0.00438	-0.155729	0.00445812	0.0648513	-0.0263806	0.0581544	-0.00281562	0.00141187	-0.00410438	-0.00199563	-0.00271875	-0.00246687	0.0789258	-0.0374903	-0.0582459	0.714956
0.00708	-0.150429	0.00495812	0.0726513	-0.0231806	0.0591544	0.00288438	0.00161187	0.000395625	0.0107044	0.00268125	0.00233313	0.0790169	-0.0508046	-0.00996132	0.900383
0.00668	-0.144529	0.00565812	0.0795513	-0.0240806	0.0628544	-0.000215625	0.00221187	0.000595625	0.00980438	-0.00141875	0.00503312	0.0789607	-0.069847	0.0578841	0.970763
0.00268	-0.137229	0.00985812	0.0697513	-0.0191806	0.0565544	-0.00381562	0.00361187	0.00409563	-0.00689562	0.00438125	-0.00496687	0.0791675	-0.0776736	0.117235	0.992416
0.00808	-0.128529	0.0130581	0.0679513	-0.0161806	0.0505544	0.00558438	0.00501187	0.00309562	0.00110437	0.00248125	-0.00466687	0.0791455	-0.084908	0.0646995	0.998211
0.01098	-0.121729	0.0122581	0.0669513	-0.0139806	0.0451544	0.00308437	0.00311187	-0.000904375	0.00190437	0.00168125	-0.00406688	0.0789776	-0.0636519	0.0132519	0.999616
0.01478	-0.126229	0.00865812	0.0727513	-0.0144806	0.0414544	0.00398437	-0.00818813	-0.00370437	0.00870438	-0.00101875	-0.00236687	0.0790616	-0.0443992	0.00457147	0.999932
0.01188	-0.124729	0.00705812	0.0775513	-0.0183806	0.0418544	-0.00271562	-0.00218813	-0.00170438	0.00770437	-0.00441875	0.00173312	0.0790891	-0.0472625	-0.00899546	0.999999
